,,,,,,,,
"1205 Креп-шифон 150см (11) фиолетовый, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-11-fioletovyj-m,1205-krep-shifon-150sm-11-fioletovyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193cf-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (28) сиреневый, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-28-sirenevyj-m,1205-krep-shifon-150sm-28-sirenevyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193c6-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (42) розовый, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-42-rozovyj-m,1205-krep-shifon-150sm-42-rozovyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193d5-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (66) ментоловый, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-66-mentolovyj-m,1205-krep-shifon-150sm-66-mentolovyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193d2-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
"1205 Креп-шифон 150см (74) ярко-розовый, м",4.00 $,USD,"Полупрозрачный матовый материал с зернистой структурой. Используется как для декорирования, так и самостоятельно. Цвета в ассортименте. Продается на метраж.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1205-krep-shifon-150sm-74-yarko-rozovyj-m,1205-krep-shifon-150sm-74-yarko-rozovyj-m.jpeg,http://tkani.ukrchic.com/files/products/b05193c9-9e76-11e5-931e-a45d36c4a9b8.800x600.jpeg
147 салатовое,45.00 $,USD,,Ткани,Цветные ткани,http://tkani.ukrchic.com/products/147-salatovoe,147-salatovoe.jpeg,http://tkani.ukrchic.com/files/products/ab956879-5575-11e6-bc21-a45d36c4a9b9.800x600.jpeg
"1666 Атлас 150см (001) красный, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки.  Цвета в ассортименте. Продается на метраж. Ширина 1,5м.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1666-atlas-150sm-001-krasnyj-m,1666-atlas-150sm-001-krasnyj-m.jpeg,http://tkani.ukrchic.com/files/products/659934a3-c354-11e5-bd52-a45d36c4a9b8.800x600.jpeg
"1666 Атлас 150см (002) белый, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки. Цвет - белый. Продается на метраж. Ширина 1,5м.
",Ткани,Ткани для свадебных платьев,http://tkani.ukrchic.com/products/1666-atlas-150sm-002-belyj-m,1666-atlas-150sm-002-belyj-m.jpeg,http://tkani.ukrchic.com/files/products/dsc05571.800x600.jpg
"1666 Атлас 150см (004) розовый, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки.  Цвета в ассортименте. Продается на метраж. Ширина 1,5м.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1666-atlas-150sm-004-rozovyj-m,1666-atlas-150sm-004-rozovyj-m.jpeg,http://tkani.ukrchic.com/files/products/c3374bc6-c336-11e5-bd52-a45d36c4a9b8.800x600.jpeg
"1666 Атлас 150см (005) салатовый, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки.  Цвета в ассортименте. Продается на метраж. Ширина 1,5м.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1666-atlas-150sm-005-salatovyj-m,1666-atlas-150sm-005-salatovyj-m.jpeg,http://tkani.ukrchic.com/files/products/659934d3-c354-11e5-bd52-a45d36c4a9b8.800x600.jpeg
"1666 Атлас 150см (006) голубой, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки.  Цвета в ассортименте. Продается на метраж. Ширина 1,5м.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1666-atlas-150sm-006-goluboj-m,1666-atlas-150sm-006-goluboj-m.jpeg,http://tkani.ukrchic.com/files/products/659934c4-c354-11e5-bd52-a45d36c4a9b8.800x600.jpeg
"1666 Атлас 150см (007) малиновый, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки.  Цвета в ассортименте. Продается на метраж. Ширина 1,5м.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1666-atlas-150sm-007-malinovyj-m,1666-atlas-150sm-007-malinovyj-m.jpeg,http://tkani.ukrchic.com/files/products/659934a0-c354-11e5-bd52-a45d36c4a9b8.800x600.jpeg
"1666 Атлас 150см (012) молочный, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки. Цвет - молочный. Продается на метраж. Ширина 1,5м.
",Ткани,Ткани для свадебных платьев,http://tkani.ukrchic.com/products/1666-atlas-150sm-012-molochnyj-m,1666-atlas-150sm-012-molochnyj-m.jpeg,http://tkani.ukrchic.com/files/products/dsc05568.800x600.jpg
"1666 Атлас 150см (014) светло-голубой, м",4.50 $,USD,"Шелковистая ткань атласного переплетения с гладкой блестящей лицевой поверхностью. Благодаря его структуре хорошо драпируется, ложась в красивые тяжелые складки.  Цвета в ассортименте. Продается на метраж. Ширина 1,5м.",Ткани,Цветные ткани,http://tkani.ukrchic.com/products/1666-atlas-150sm-014-svetlo-goluboj-m,1666-atlas-150sm-014-svetlo-goluboj-m.jpeg,http://tkani.ukrchic.com/files/products/659934a9-c354-11e5-bd52-a45d36c4a9b8.800x600.jpeg
