Код_товара,Название_позиции,Поисковые_запросы,Описание,Тип_товара,Цена,Цена от,Ярлык,HTML_заголовок,HTML_описание,HTML_ключевые_слова,Валюта,Скидка,Cрок действия скидки от,Cрок действия скидки до,Единица_измерения,Минимальный_объем_заказа,Оптовая_цена,Минимальный_заказ_опт,Ссылка_изображения,Наличие,Количество,Производитель,Страна_производитель,Номер_группы,Адрес_подраздела,Возможность_поставки,Срок_поставки,Способ_упаковки,Личные_заметки,Продукт_на_сайте,Идентификатор_товара,Уникальный_идентификатор,Идентификатор_подраздела,Идентификатор_группы,Подарки,Сопутствующие,ID_группы_разновидностей,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики,Название_Характеристики,Измерение_Характеристики,Значение_Характеристики
175311,Реагент Ecosoft Ecocide DB5 ECDB510,,,r,4402,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-ecocide-db5-ecdb510-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecocide-db5-ecdb510,175311,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175309,Реагент Ecosoft Ecocide DB20 ECDB2010,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-ecocide-db20-ecdb2010-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecocide-db20-ecdb2010,175309,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175312,Реагент Ecosoft Ecoclean 203 ECOCL20310,,,r,3795,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-ecoclean-203-ecocl20310-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecoclean-203-ecocl20310,175312,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175107,Набор для дезинфекции BWT AQA Clean DT P0004890,,,r,1422,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-aqa-clean-dt-p0004890-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-aqa-clean-dt-p0004890,175107,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175531,Смесь для доминерализации воды Ecosoft Компонент А REMINP1A,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-komponent-a-reminp1a-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-komponent-a-reminp1a,175531,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175148,Реагент BWT CILLIT-Kalkloser P 8-560030,,,r,1454,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-cillit-kalkloser-p-8-560030-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-cillit-kalkloser-p-8-560030,175148,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175313,Реагент Ecosoft Ecoclean 211 ECOCL21110,,,r,3795,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-ecoclean-211-ecocl21110-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecoclean-211-ecocl21110,175313,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175532,Смесь для доминерализации воды Ecosoft Компонент А REMINP2A,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-komponent-a-reminp2a-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-komponent-a-reminp2a,175532,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175149,Реагент BWT CILLIT-Neutra P 8-560031,,,r,727,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-cillit-neutra-p-8-560031-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-cillit-neutra-p-8-560031,175149,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175339,Реагент Ecosoft Ecotec 1000 ECOT100010,,,r,1113,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-ecotec-1000-ecot100010-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecotec-1000-ecot100010,175339,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175533,Смесь для доминерализации воды Ecosoft Компонент Б REMINP1B,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-komponent-b-reminp1b-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-komponent-b-reminp1b,175533,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175341,Реагент Ecosoft Ecotec 2000 ECOT200010,,,r,1349,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-ecotec-2000-ecot200010-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecotec-2000-ecot200010,175341,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175178,Химический препарат для дозирования BWT RONDOPHOS PIK 11 6-603310,,,r,4620,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-rondophos-pik-11-6-603310-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-rondophos-pik-11-6-603310,175178,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175342,Реагент Ecosoft Ecotec 3010 ECOT301010,,,r,3014,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-ecotec-3010-ecot301010-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-ecotec-3010-ecot301010,175342,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175179,Химический препарат для дозирования BWT RONDOPHOS PIK 40 6-603416,,,r,3610,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-rondophos-pik-40-6-603416-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-rondophos-pik-40-6-603416,175179,,,9016,,,,,,,Бренд,,BWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175534,Смесь для доминерализации воды Ecosoft Компонент Б REMINP2B,,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-komponent-b-reminp2b-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-komponent-b-reminp2b,175534,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175478,Реагент Ecosoft RoClean L 211 L211,,,r,13831,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/ecosoft-roclean-l-211-l211-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-roclean-l-211-l211,175478,,,9016,,,,,,,Бренд,,Ecosoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175176,"Магистральный фильтр BWT R1 HWS 1"" с редуктором давления 840370",,,r,7584,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-r1-hws-1-z-reduktorom-tisku-840370-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-r1-hws-1-z-reduktorom-tisku-840370,175176,,,9004,,,,,,,Оснащение и функции,,обратная промывка / ручная промывка,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Возможность регенерации,,без регенерации,Бренд,,BWT,"Диаметр подключения, дюймов",,1,"Монтажная длина, мм",,184,Подходит,,для холодной воды,"Производительность, м³/ч",,3.6,Производство,,Австрия,"Рабочая температура воды, °C",,5-30,"Рабочее давление, атм",,2.5-16.0,Тип,,магистральный,"Тонкость очистки, мкм",,90,Фильтрующий элемент,,самопромывной,"Высота, мм",,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142369,Магистральный фильтр Ecosoft BB20 1” FPV4520ECO,,,r,1649,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-ecosoft-big-blue-20-bez-kartridzha-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-big-blue-20-bez-kartridzha,142369,,,9004,,,,,,,"Гарантия, мес.",,12,"Производительность, л/день",,1.8,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1,"Кол-во человек, живущих в доме",,от 5 до 8,Подходит,,для холодной воды,Преимущества,,работает без электричества,Производство,,Украина,"Рабочая температура воды, °C",,4 / 40,"Рабочее давление, атм",,1 / 6,Тип,,колба,"Высота, мм",,333,"Ширина, мм",,185,"Глубина, мм",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142384,"Магистральный фильтр BWT Protector Mini 1/2"" CR",,,r,1864,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-mehanicheskoj-ochistki-bwt-protector-mini-12-cr-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-protector-mini-12-cr,142384,,,9004,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,ручная промывка,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Бренд,,BWT,"Диаметр подключения, дюймов",,1/2,Подходит,,для холодной воды,Преимущества,,работает без электричества,Производство,,Австрия,"Рабочая температура воды, °C",,4 / 40,"Рабочее давление, атм",,1.40 / 6,Тип,,магистральный,"Тонкость очистки, мкм",,100,Фильтрующий элемент,,механический / сетчатый,"Высота без бака, мм",,194,Ширина без бака,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175177,"Магистральный фильтр BWT R1 HWS ¾"" с редуктором давления 840369",,,r,7426,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-r1-hws-z-reduktorom-tisku-840369-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-r1-hws-z-reduktorom-tisku-840369,175177,,,9004,,,,,,,Оснащение и функции,,обратная промывка / ручная промывка,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Возможность регенерации,,без регенерации,Бренд,,BWT,"Диаметр подключения, дюймов",,3/4,"Монтажная длина, мм",,184,Подходит,,для холодной воды,"Производительность, м³/ч",,2.27,Производство,,Австрия,"Рабочая температура воды, °C",,5-30,"Рабочее давление, атм",,2.5-16.0,Тип,,магистральный,"Тонкость очистки, мкм",,90,Фильтрующий элемент,,самопромывной,"Высота, мм",,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142383,"Магистральный фильтр BWT Protector Mini 1"" HR",,,r,2970,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-mehanicheskoj-ochistki-bwt-protector-mini-1-hr-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-protector-mini-1-hr,142383,,,9004,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,ручная промывка,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Бренд,,BWT,"Диаметр подключения, дюймов",,1 / 1,Подходит,,для холодной воды / для горячей воды,Преимущества,,работает без электричества,Производство,,Австрия,"Рабочая температура воды, °C",,4 / 90,"Рабочее давление, атм",,1.40 / 6,Тип,,магистральный,"Тонкость очистки, мкм",,100,Фильтрующий элемент,,механический,"Высота без бака, мм",,194,Ширина без бака,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175213,"Соединительный модуль 1"" BWT 1"" 830014",,,r,2149,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-proizvoditelnost-45m3ch-830014-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-proizvoditelnost-45m3ch-830014,175213,,,9004,,,,,,,Бренд,,BWT,"Диаметр подключения, дюймов",,1,"Производительность, л/час",,4500,Тип,,соединительный модуль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142342,"Магистральный фильтр Ecosoft 1/2"" FPV12ECO",,,r,414,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-mehanicheskoj-ochistki-ecosoft-absolute-12-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/filtr-mehanicheskiy-ecosoft-absolute-12,142342,,,9004,,,,,,,"Гарантия, мес.",,12,"Производительность, л/день",,1,Эффективная очистка,,от ржавчины и песка,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1/2,Подходит,,для холодной воды,Преимущества,,работает без электричества / картридж,Производство,,Украина,"Рабочая температура воды, °C",,4 / 40,"Рабочее давление, атм",,1 / 6,Тип,,колба,"Тонкость очистки, мкм",,5,Фильтрующий элемент,,механический,"Высота, мм",,305,"Ширина, мм",,115,"Глубина, мм",,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141973,"Магистральный фильтр BWT E1 HWS 3/4""",,,r,9164,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-mehanicheskoj-ochistki-bwt-e1-hws-34-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-e1-hws-34,141973,,,9004,,,,,,,"Гарантия, мес.",,12,"Производительность, л/день",,1.8,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Бренд,,BWT,"Диаметр подключения, дюймов",,3/4,"Кол-во человек, живущих в доме",,от 3 до 5,Подходит,,для холодной воды,Преимущества,,работает без электричества / манометр / картридж,Производство,,Австрия,"Рабочая температура воды, °C",,4 / 40,"Рабочее давление, атм",,1.40 / 6,Тип,,магистральный,"Тонкость очистки, мкм",,90,Фильтрующий элемент,,сетчатый,"Высота, мм",,567,"Ширина, мм",,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142368,Магистральный фильтр Ecosoft BB10 1” FPV4510ECO,,,r,1290,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-ecosoft-big-blue-10-bez-kartridzha-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/ecosoft/ecosoft-big-blue-10-bez-kartridzha,142368,,,9004,,,,,,,"Гарантия, мес.",,12,"Производительность, л/день",,1.2,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Бренд,,Ecosoft,"Диаметр подключения, дюймов",,1,"Кол-во человек, живущих в доме",,от 5 до 8,Подходит,,для холодной воды,Преимущества,,работает без электричества,Производство,,Украина,"Рабочая температура воды, °C",,4 / 40,"Рабочее давление, атм",,1 / 6,Тип,,колба,"Высота, мм",,606,"Ширина, мм",,136,"Глубина, мм",,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175098,"Дисковый фильтр Arkal 1 ""Short ARKAL1SHORT",,,r,,,,,,,,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/arkal-1-short-arkal1short-750x750.jpg,Под заказ,,,,,,,,,,https://ecosoft-market.com.ua/arkal/arkal-1-short-arkal1short,175098,,,9004,,,,,,,Бренд,,Arkal,Тип,,дисковый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175207,"Соединительный модуль 2"" BWT 2"" 8-070708",,,r,4676,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-proizvoditelnost-11m3ch-8-070708-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-proizvoditelnost-11m3ch-8-070708,175207,,,9004,,,,,,,Бренд,,BWT,"Диаметр подключения, дюймов",,2,"Производительность, л/час",,11000,Тип,,соединительный модуль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175209,"Соединительный модуль ¾"" BWT 3/4"" 830012",,,r,2149,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/bwt-proizvoditelnost-35m3ch-830012-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-proizvoditelnost-35m3ch-830012,175209,,,9004,,,,,,,Бренд,,BWT,"Диаметр подключения, дюймов",,3/4,"Производительность, л/час",,3500,Тип,,соединительный модуль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142379,"Магистральный фильтр BWT Protector BW 1""",,,r,2622,,,,,,UAH,,,,шт,,,,https://ecosoft-market.com.ua/image/cache/catalog/img/filtr-mehanicheskoj-ochistki-bwt-protector-bw-1-750x750.jpg,+,,,,,,,,,,https://ecosoft-market.com.ua/bwt/bwt-protector-bw-1,142379,,,9004,,,,,,,"Гарантия, мес.",,12,Оснащение и функции,,ручная промывка,Назначение,,для водопровода / для скважины,Эффективная очистка,,от ржавчины и песка,Бренд,,BWT,"Диаметр подключения, дюймов",,1,Подходит,,для холодной воды,Преимущества,,работает без электричества,Производство,,Австрия,"Рабочая температура воды, °C",,4 / 40,"Рабочее давление, атм",,1.40 / 6,Тип,,магистральный,"Тонкость очистки, мкм",,90,Фильтрующий элемент,,механический,"Высота без бака, мм",,280,Ширина без бака,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
